filename,line_total,line_covered,line_percent,branch_total,branch_covered,branch_percent,function_total,function_covered,function_percent
firmware/src/deluge/modulation/lfo.cpp,28,28,1.0,9,9,1.0,4,4,1.0
firmware/src/deluge/modulation/lfo.h,49,49,1.0,644,45,0.07,4,4,1.0
firmware/src/deluge/modulation/midi/midi_knob_array.cpp,13,12,0.9229999999999999,8,4,0.5,4,4,1.0
firmware/src/deluge/modulation/midi/midi_param.cpp,2,2,1.0,0,0,,1,1,1.0
firmware/src/deluge/modulation/midi/midi_param_vector.cpp,31,29,0.935,22,16,0.727,5,5,1.0
firmware/src/deluge/modulation/params/param.cpp,351,285,0.812,275,196,0.713,24,17,0.708
firmware/src/deluge/modulation/params/param_collection.cpp,34,19,0.5589999999999999,16,8,0.5,8,5,0.625
firmware/src/deluge/modulation/params/param_collection.h,2,0,0.0,0,0,,2,0,0.0
firmware/src/deluge/modulation/params/param_descriptor.h,7,4,0.5710000000000001,0,0,,5,4,0.8
firmware/src/deluge/modulation/params/param_node_vector.cpp,10,10,1.0,8,8,1.0,4,4,1.0
firmware/src/deluge/modulation/params/param_set.h,2,1,0.5,0,0,,2,1,0.5
firmware/src/deluge/modulation/patch/patch_cable.cpp,50,46,0.92,22,20,0.909,10,10,1.0
firmware/src/deluge/modulation/patch/patch_cable.h,1,1,1.0,0,0,,1,1,1.0
firmware/src/deluge/modulation/sidechain/sidechain.cpp,95,82,0.863,32,21,0.6559999999999999,7,7,1.0
firmware/src/deluge/playback/mode/playback_mode.cpp,8,6,0.75,4,4,1.0,3,3,1.0
firmware/src/deluge/playback/mode/playback_mode.h,3,0,0.0,0,0,,2,0,0.0
firmware/src/deluge/storage/audio/audio_file.h,5,0,0.0,0,0,,4,0,0.0
firmware/src/deluge/storage/audio/audio_file_holder.h,1,0,0.0,0,0,,1,0,0.0
firmware/src/deluge/storage/audio/audio_file_vector.cpp,22,0,0.0,20,0,0.0,2,0,0.0
firmware/src/deluge/storage/DX7Cartridge.cpp,133,123,0.925,76,49,0.645,14,13,0.929
firmware/src/deluge/storage/DX7Cartridge.h,35,26,0.743,16,10,0.625,4,4,1.0
firmware/src/deluge/storage/multi_range/multi_range.cpp,7,5,0.7140000000000001,0,0,,2,2,1.0
firmware/src/deluge/storage/multi_range/multi_range_array.cpp,36,33,0.917,52,26,0.5,4,4,1.0
firmware/src/deluge/storage/multi_range/multi_wave_table_range.cpp,4,4,1.0,2,1,0.5,2,2,1.0
firmware/src/deluge/storage/multi_range/multisample_range.cpp,3,3,1.0,2,1,0.5,2,2,1.0
firmware/src/deluge/storage/wave_table/wave_table_holder.cpp,3,3,1.0,0,0,,1,1,1.0
firmware/src/deluge/util/algorithm/quick_sorter.cpp,39,0,0.0,10,0,0.0,7,0,0.0
firmware/src/deluge/util/const_functions.h,4,4,1.0,0,0,,2,2,1.0
firmware/src/deluge/util/container/array/c_string_array.cpp,45,45,1.0,30,27,0.9,4,4,1.0
firmware/src/deluge/util/container/array/c_string_array.h,1,1,1.0,0,0,,1,1,1.0
firmware/src/deluge/util/container/array/ordered_resizeable_array.cpp,165,35,0.212,90,12,0.133,11,6,0.545
firmware/src/deluge/util/container/array/ordered_resizeable_array_with_multi_word_key.cpp,72,51,0.708,44,25,0.568,7,5,0.7140000000000001
firmware/src/deluge/util/container/array/resizeable_array.cpp,535,323,0.604,338,137,0.405,24,21,0.875
firmware/src/deluge/util/container/array/resizeable_array.h,5,5,1.0,138,46,0.33299999999999996,0,0,
firmware/src/deluge/util/container/array/resizeable_pointer_array.cpp,13,12,0.9229999999999999,8,4,0.5,4,4,1.0
firmware/src/deluge/util/container/enum_to_string_map.hpp,12,10,0.833,8,6,0.75,4,4,1.0
firmware/src/deluge/util/container/hashtable/open_addressing_hash_table.cpp,188,26,0.138,72,3,0.042,22,6,0.273
firmware/src/deluge/util/container/list/bidirectional_linked_list.cpp,79,57,0.722,22,10,0.455,12,11,0.917
firmware/src/deluge/util/container/vector/named_thing_vector.cpp,58,33,0.569,26,11,0.423,10,6,0.6
firmware/src/deluge/util/container/vector/named_thing_vector.h,1,1,1.0,0,0,,1,1,1.0
firmware/src/deluge/util/d_string.cpp,154,118,0.7659999999999999,90,52,0.578,19,19,1.0
firmware/src/deluge/util/d_string.h,13,12,0.9229999999999999,8,6,0.75,5,5,1.0
firmware/src/deluge/util/d_stringbuf.cpp,32,32,1.0,10,10,1.0,6,6,1.0
firmware/src/deluge/util/d_stringbuf.h,16,16,1.0,2,1,0.5,13,13,1.0
firmware/src/deluge/util/firmware_version.cpp,9,9,1.0,10,7,0.7,1,1,1.0
firmware/src/deluge/util/fixedpoint.h,12,12,1.0,0,0,,5,5,1.0
firmware/src/deluge/util/misc.h,23,19,0.826,2,2,1.0,10,8,0.8
firmware/src/deluge/util/phase_increment_fine_tuner.cpp,11,11,1.0,0,0,,4,4,1.0
firmware/src/deluge/util/semver.cpp,46,44,0.9570000000000001,82,59,0.72,6,6,1.0
firmware/src/deluge/util/semver.h,6,6,1.0,10,5,0.5,3,3,1.0
firmware/src/deluge/util/string.cpp,41,35,0.8540000000000001,62,39,0.629,5,5,1.0
firmware/src/deluge/util/waves.h,20,19,0.95,380,51,0.134,0,0,
